bac_id	bac_def	hit_prophage	hit_phage_id	hit_phage_def	prophage_pro_num	hit_pro_percent	hit_pro_num
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	JX879087	Streptococcus phage phiNJ2, complete genome	59.0	0.7966101694915254	47
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK449009	Streptococcus phage Javan88, complete genome	59.0	0.5254237288135594	31
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK448834	Streptococcus phage Javan91, complete genome	59.0	0.5254237288135594	31
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK448742	Streptococcus phage Javan37, complete genome	59.0	0.05084745762711865	3
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK448897	Streptococcus phage Javan28, complete genome	59.0	0.4576271186440678	28
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK448708	Streptococcus phage Javan23, complete genome	59.0	0.4576271186440678	28
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK448878	Streptococcus phage Javan224, complete genome	59.0	0.288135593220339	17
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK448879	Streptococcus phage Javan226, complete genome	59.0	0.1016949152542373	6
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|1191792:1235754|DBSCAN-SWA|47	MK448879	Streptococcus phage Javan226, complete genome	47.0	0.02127659574468085	1
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK449006	Streptococcus phage Javan78, complete genome	59.0	0.5254237288135594	31
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA|59	MK448831	Streptococcus phage Javan83, complete genome	59.0	0.5254237288135594	31
