bac_id	bac_def	prophage_id	hit_phage_id	hit_phage_def	prophage_length	hit_length	identity	coverage
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	JX879087	Streptococcus phage phiNJ2, complete genome	43111	37256	90.84250000000002	0.864187794298439
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KT388093	Streptococcus phage A25, complete genome	43111	15097	77.74333333333334	0.3501890468789868
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KC413988	Streptococcus phage phiST1, complete genome	43111	27059	85.32343750000001	0.627658834172253
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KY349816	Streptococcus phage Str01, complete genome	43111	15321	78.42266666666666	0.35538493655911485
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448831	Streptococcus phage Javan83, complete genome	43111	16975	80.3415789473684	0.39375101482220315
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK449006	Streptococcus phage Javan78, complete genome	43111	16975	80.3415789473684	0.39375101482220315
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448887	Streptococcus phage Javan258, complete genome	43111	21981	82.1581818181818	0.5098698707986361
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448671	Streptococcus phage Javan115, complete genome	43111	16508	79.44473684210527	0.38291851267657906
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448886	Streptococcus phage Javan254, complete genome	43111	13868	79.85045454545455	0.32168124144649857
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448861	Streptococcus phage Javan174, complete genome	43111	19037	77.175	0.44158103500266754
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448834	Streptococcus phage Javan91, complete genome	43111	21733	79.3672	0.50411727865278
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK449009	Streptococcus phage Javan88, complete genome	43111	21733	79.36319999999999	0.50411727865278
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448905	Streptococcus phage Javan318, complete genome	43111	13441	85.43466666666666	0.3117765767437545
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448878	Streptococcus phage Javan224, complete genome	43111	9812	76.29866666666668	0.2275985247384658
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448714	Streptococcus phage Javan241, complete genome	43111	14179	77.2535	0.3288951775648906
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KT337364	Streptococcus phage phiARI0639b, partial genome	43111	11015	81.5425	0.25550323583308204
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	MK448806	Streptococcus phage Javan565, complete genome	43111	2013	82.73285714285714	0.04669341931293637
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KY065501	Streptococcus phage IPP65, complete genome	43111	13620	78.94576923076922	0.3159286493006425
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KY065479	Streptococcus phage IPP39, complete genome	43111	12772	79.71749999999999	0.2962584955115864
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	HF563658	Streptococcus phage phiBHN167 complete genome	43111	13905	80.43909090909091	0.3225394910811626
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KY065455	Streptococcus phage IPP14, complete genome	43111	12573	79.79875	0.2916425042332583
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KT337365	Streptococcus phage phiARI0746, complete genome	43111	3849	81.43000000000002	0.08928115794112872
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|116536:159646|DBSCAN-SWA	KY065456	Streptococcus phage IPP15, complete genome	43111	4931	80.569	0.11437916077103291
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	NZ_CP082203|1191792:1235754|DBSCAN-SWA	KY065456	Streptococcus phage IPP15, complete genome	43963	101	77.14	0.002297386438596092
