The following contents displays predicted prophage regions
first line of each prophage describes the prophage information and the following lines describe the proteins and homology proteins in uniprot database
prophage_protein_ID	prophage_protein_product	key_proteins	hit_protein_id	hit_species	identity	evalue

>prophage 1
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	2179024	116536	159646	DBSCAN-SWA	Streptococcus_phage(98.18%)	NA
EHGHJBNO_00153|116536_120157_+	DNA-directed RNA polymerase subunit beta'	NA	R4TQM7	Phaeocystis_globosa_virus	25.5	1.96e-63
EHGHJBNO_00157|122429_123869_-	hypothetical protein	NA	K4JU73	Streptococcus_phage	100	0.0
EHGHJBNO_00158|124002_124572_-	hypothetical protein	NA	K4JWA1	Streptococcus_phage	100	2.44e-122
EHGHJBNO_00159|124585_125380_-	LexA repressor	NA	K4JTM2	Streptococcus_phage	100	4.09e-177
EHGHJBNO_00160|125549_125774_+	hypothetical protein	NA	K4JXN9	Streptococcus_phage	100	3.22e-45
EHGHJBNO_00161|125878_126052_+	hypothetical protein	NA	K4K7R5	Streptococcus_phage	100	4.37e-33
EHGHJBNO_00162|126027_126174_+	hypothetical protein	NA	K4JU69	Streptococcus_phage	100	1.29e-20
EHGHJBNO_00163|126216_126534_+	hypothetical protein	NA	K4JW96	Streptococcus_phage	100	6.56e-70
EHGHJBNO_00164|126785_127361_+	hypothetical protein	NA	K4JTL7	Streptococcus_phage	100	1.52e-84
EHGHJBNO_00165|127364_128063_+	hypothetical protein	NA	K4JXN5	Streptococcus_phage	100	2.32e-161
EHGHJBNO_00166|128077_128404_+	hypothetical protein	NA	K4K7R2	Streptococcus_phage	100	2.63e-75
EHGHJBNO_00167|128414_129476_+	hypothetical protein	NA	K4JU67	Streptococcus_phage	100	6.77e-242
EHGHJBNO_00168|129465_129987_+	hypothetical protein	NA	K4JW89	Streptococcus_phage	100	7.00e-118
EHGHJBNO_00169|129997_130198_+	hypothetical protein	NA	K4JTL3	Streptococcus_phage	100	2.29e-40
EHGHJBNO_00170|130187_130700_+	Single-stranded DNA-binding protein	NA	K4JXN0	Streptococcus_phage	100	5.77e-111
EHGHJBNO_00171|130715_130994_+	hypothetical protein	NA	K4K7Q9	Streptococcus_phage	100	5.97e-69
EHGHJBNO_00172|130998_131787_+	hypothetical protein	NA	U4KJA1	Streptococcus_phage	93.4	5.65e-185
EHGHJBNO_00173|131783_131987_+	hypothetical protein	NA	K4JW84	Streptococcus_phage	100	2.88e-40
EHGHJBNO_00174|131983_132418_+	hypothetical protein	NA	K4JTK7	Streptococcus_phage	100	1.62e-93
EHGHJBNO_00175|132428_132866_+	hypothetical protein	NA	K4JXM6	Streptococcus_phage	100	1.56e-96
EHGHJBNO_00176|132867_133605_+	hypothetical protein	NA	K4K7Q4	Streptococcus_phage	100	3.17e-170
EHGHJBNO_00177|133624_134011_+	hypothetical protein	NA	K4JU58	Streptococcus_phage	100	2.73e-82
EHGHJBNO_00178|134010_134133_+	hypothetical protein	NA	K4JW82	Streptococcus_phage	100	1.41e-22
EHGHJBNO_00179|134136_134439_+	hypothetical protein	NA	K4JTK4	Streptococcus_phage	100	4.75e-63
EHGHJBNO_00180|134439_134616_+	hypothetical protein	NA	K4JXM1	Streptococcus_phage	100	9.79e-35
EHGHJBNO_00181|134622_134853_+	hypothetical protein	NA	K4K7P8	Streptococcus_phage	100	4.25e-46
EHGHJBNO_00182|134849_135269_+	hypothetical protein	NA	K4JU53	Streptococcus_phage	100	2.44e-97
EHGHJBNO_00183|135252_135645_+	hypothetical protein	NA	K4JW78	Streptococcus_phage	100	3.69e-99
EHGHJBNO_00184|135641_136022_+	hypothetical protein	NA	K4JTJ9	Streptococcus_phage	100	2.17e-87
EHGHJBNO_00185|136089_136761_+	hypothetical protein	NA	K4JXL6	Streptococcus_phage	100	1.36e-169
EHGHJBNO_00186|136730_137141_+	hypothetical protein	NA	K4K7P5	Streptococcus_phage	100	1.38e-86
EHGHJBNO_00187|137332_137812_+	hypothetical protein	NA	K4JU48	Streptococcus_phage	100	1.06e-103
EHGHJBNO_00188|137798_139112_+	hypothetical protein	NA	K4JW72	Streptococcus_phage	100	0.0
EHGHJBNO_00189|139124_140708_+	hypothetical protein	NA	K4JTJ5	Streptococcus_phage	100	0.0
EHGHJBNO_00190|140710_141862_+	hypothetical protein	NA	K4JXL1	Streptococcus_phage	100	1.06e-276
EHGHJBNO_00191|142008_142626_+	hypothetical protein	NA	K4K7P1	Streptococcus_phage	100	4.91e-136
EHGHJBNO_00192|142629_143469_+	hypothetical protein	NA	K4JU44	Streptococcus_phage	100	7.53e-195
EHGHJBNO_00193|143468_143654_+	hypothetical protein	NA	K4JW68	Streptococcus_phage	100	1.24e-36
EHGHJBNO_00194|143631_143859_+	hypothetical protein	NA	K4JTJ0	Streptococcus_phage	100	1.33e-44
EHGHJBNO_00195|143900_144296_+	hypothetical protein	NA	K4JXK7	Streptococcus_phage	100	8.06e-90
EHGHJBNO_00196|144285_144612_+	hypothetical protein	NA	K4K7N7	Streptococcus_phage	100	2.53e-73
EHGHJBNO_00197|144611_144962_+	hypothetical protein	NA	K4JU39	Streptococcus_phage	100	5.77e-76
EHGHJBNO_00198|144963_145371_+	hypothetical protein	NA	K4JW65	Streptococcus_phage	100	5.60e-92
EHGHJBNO_00199|145374_145833_+	hypothetical protein	NA	K4JTI5	Streptococcus_phage	100	1.94e-107
EHGHJBNO_00200|145854_146223_+	hypothetical protein	NA	K4JXK3	Streptococcus_phage	100	3.39e-80
EHGHJBNO_00201|146222_146810_+	hypothetical protein	NA	M1IEU4	Streptococcus_phage	98.5	5.62e-137
EHGHJBNO_00202|146829_150117_+	hypothetical protein	NA	K4JW62	Streptococcus_phage	100	0.0
EHGHJBNO_00203|150113_151616_+	hypothetical protein	NA	K4JTI1	Streptococcus_phage	100	0.0
EHGHJBNO_00204|151615_155425_+	hypothetical protein	NA	K4JXJ8	Streptococcus_phage	100	0.0
EHGHJBNO_00205|155438_157502_+	hypothetical protein	NA	K4K7M8	Streptococcus_phage	100	0.0
EHGHJBNO_00206|157563_157827_+	hypothetical protein	NA	K4JU33	Streptococcus_phage	100	1.03e-50
EHGHJBNO_00207|157839_158295_+	hypothetical protein	NA	K4JW58	Streptococcus_phage	100	7.91e-102
EHGHJBNO_00208|158269_158473_+	hypothetical protein	NA	K4JTH6	Streptococcus_phage	100	4.09e-40
EHGHJBNO_00210|158602_159313_+	hypothetical protein	NA	K4JXJ3	Streptococcus_phage	100	8.16e-173
EHGHJBNO_00211|159460_159646_+	hypothetical protein	NA	K4K7M3	Streptococcus_phage	100	9.07e-39
>prophage 2
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	2179024	617550	628355	DBSCAN-SWA	Streptococcus_phage(70.0%)	NA
EHGHJBNO_00653|617550_619107_-	hypothetical protein	NA	Q9AZI5	Lactococcus_phage	42.9	6.52e-84
EHGHJBNO_00654|619103_619967_-	hypothetical protein	NA	A0A1X9I6L2	Streptococcus_phage	67.7	1.10e-137
EHGHJBNO_00655|619947_620235_-	hypothetical protein	NA	A0A1X9I5U9	Streptococcus_phage	57.8	8.24e-32
EHGHJBNO_00658|620863_621070_-	hypothetical protein	NA	A0A1X9I725	Streptococcus_phage	86.4	5.44e-34
EHGHJBNO_00660|621230_621461_-	hypothetical protein	NA	A0A1X9I5V6	Streptococcus_phage	91.0	7.87e-36
EHGHJBNO_00661|621450_621726_-	hypothetical protein	NA	A0A1X9I5W5	Streptococcus_phage	93.4	8.37e-53
EHGHJBNO_00662|622110_622734_-	hypothetical protein	NA	R9QNB1	Lactococcus_phage	44.4	6.26e-37
EHGHJBNO_00663|622746_622944_-	hypothetical protein	NA	A0A1X9I5U5	Streptococcus_phage	70.8	1.72e-24
EHGHJBNO_00665|624338_625505_+	Tyrosine recombinase XerC	NA	A0A1X9I5Y5	Streptococcus_phage	49.6	2.05e-118
EHGHJBNO_00669|627086_628355_+	RNA-splicing ligase RtcB	NA	A0A288TY95	Enterococcus_phage	44.5	7.51e-121
>prophage 3
NZ_CP082203	NZ_CP082203.1 Streptococcus suis strain NJ3 chromosome, complete genome	2179024	662225	679673	DBSCAN-SWA	Streptococcus_phage(86.67%)	NA
EHGHJBNO_00704|662225_663248_+	PhoH-like protein	NA	W8D063	Erwinia_phage	49.8	4.96e-61
EHGHJBNO_00706|663787_664426_-	putative metallo-hydrolase	NA	A0A1X9I5D3	Streptococcus_phage	98.6	1.67e-160
EHGHJBNO_00707|664533_666765_+	3'-5' exonuclease DinG	NA	A0A1X9I5C8	Streptococcus_phage	96.5	0.0
EHGHJBNO_00708|666805_667006_+	3'-5' exonuclease DinG	NA	A0A1X9I5C8	Streptococcus_phage	77.8	7.77e-25
EHGHJBNO_00709|667149_668226_+	Glutamate 5-kinase 1	NA	A0A1X9I5D0	Streptococcus_phage	98.6	7.66e-246
EHGHJBNO_00710|668290_669529_+	Gamma-glutamyl phosphate reductase	NA	A0A1X9I5D4	Streptococcus_phage	95.1	2.56e-269
EHGHJBNO_00711|669538_670324_+	Pyrroline-5-carboxylate reductase	NA	A0A1X9I6T5	Streptococcus_phage	94.3	9.92e-166
